瑴	瑴玉裁成却附离
荿	荿林风送幽禽语
莼	莼丝惹起思归客 莼羹鲈脍鉴湖风 莼羹鲈脍虽佳矣 莼菜鲈鱼秋正美 莼羹鲈鲙秋风起 莼鲈忽起故园心 莼羹鲈鲙非吾好 莼菜秋来忆故乡 莼菜可羹鲈可鲙
荻	荻花芦叶满溪流 荻花枫叶夕阳明 荻花枫叶只供愁 荻浦烟深有棹歌 荻港潇潇白昼寒 荻夹喜入长风沙 荻笋蒌芽新入馔 荻芽蒲笋上春洲 荻芽迸绿春无际 荻花洲渚月平林
获	获稻毕工随晒谷 获左车谁北面参 获此奇胜冠山北 获花门巷萧萧风 获罪清时世共憎 获稻条桑豳雅颂 获得黄金与富贵 获白雉兮效素乌 获守皇居在紫烟
莙	莙蒿凄怆不能无
莱	莱妻卧病月明时 莱衣五色戏斓斑 莱菔生儿荠有孙 莱服久半宜晚羹 莱公庙略传耆旧 莱菔可虀秔可炊 莱子昼归今始好 莱州武观是吾乡 莱彩潘舆乐未央 莱衣焕烂潘舆稳
莅	莅事常持敬简心 莅官姑欲行所学 莅政尤须称物平 莅官凛凛风犹在
莲	莲漏三声烛半条 莲华荷叶出未出 莲芡犹堪过半年 莲子深深隐翠房 莲茎刺惹香腮损 莲子与人长厮类 莲房个个垂金盏 莲步凌波分外妍 莲社岂堪谈昨梦 莲叶层层张绿伞
莽	莽莽乾坤名士尽 莽苍郊原来暮色 莽莽畿西虎气蹲 莽连万里云一去 莽莽中原王气黯 莽洋洋而无极兮 莽莽风烟十里陂 莽莽荡荡招殃祸 莽土倏变华严场 莽莽风沙不见春
莓	莓苔绕岸雨生衣 莓苔满地绿容容 莓苔古色空苍然 莓苔满路缀行屐 莓苔井上空相忆 莓苔石桥步难移 莓苔不扫绝尘踪 莓苔梯滑夜难行 莓苔雨过蜗缘壁 莓苔绕砌绿阴凉
莆	莆婺奸党根株盘 莆亦倚泉为保障 莆川春色故依然 莆阳太守大夫贤 莆田笔健与文豪 莆田鄣郡本同宗 莆人不剪召南棠 莆人谩课招魂些 莆壤万农生赞叹 莆田远在千山外
莴	莴苣颜色熟樱桃
莺	莺花见尽当时事 莺来蝶去芳心乱 莺啼宴席似留人 莺舌惺松如会意 莺唤屏山惊睡起 莺掷金梭飞不透 莺窗人起未梳妆 莺语殷勤月落时 莺啼露冷酒初醒 莺蝶一春花里活
莹	莹净纯白相辅弼 莹魄儿童天外飞 莹处晴空开日月 莹骨冰肤那解老 莹静不交尘事恼 莹彻无瑕照眼寒 莹然玉雪做精神 莹彻周沙含法界 莹然初日照芙蕖 莹魄童儿天奕飞
莸	莸得十年有气息
荳	荳寇丛深扇羽齐 荳蔻香销减旧容 荳荚离离未著霜
莑	莑茸新吐御筵开
莋	莋路跨骡胜五马
菶	菶菶萋萋绿渐滋 菶菶萋萋竟何许
萆	萆山夺壁秣且猎 萆山硗确强田畴
菠	菠韮铁甲几戟唇
菜	菜花总是曾留处 菜甲榆椒浑不动 菜分红绿簇春盘 菜乞邻家作菹美 菜传纤手送青丝 菜畦残叶带新霜 菜出烟畦旋摘供 菜甲麦苗须少待 菜花间蝶也飞来 菜传纤手青丝细
菖	菖叶空催野叟耕 菖蒲泛酒舞宫腰 菖蒲自蘸清溪绿 菖蒲叶叶知多少 菖花发艳无人识 菖蒲角黍家家节 菖蒲酒美清尊共 菖蒲叶老水平沙 菖蒲节里放风光 菖蒲酒满劝人人
萏	萏菡朱华祇怯霜
菰	菰蒲睡鸭占陂塘 菰蒋入馔浑家喜 菰蒲风起暮萧萧 菰菜秋风心自知 菰米如珠炊正熟 菰米新炊滑上匙 菰首芼羹甘若饴 菰蒲短短未出水 菰米新舂钵饭香 菰饭莼羹亦共餐
菓	菓肴剖剥萃新妍
菡	菡萏晚花香未减 菡萏香浮几案上 菡萏香销翠叶残 菡萏坎香可得消 菡萏如画真堪羡 菡萏香中带雨披 菡萏花香盈袖衣 菡萏香连十顷陂 菡萏飘香入寿卮 菡萏方池间艳蕊
萑	萑苇千里谁共耕 萑泽新收屠狗后 萑蒲无警南塘静 萑蒲勿讶束尔急 萑寒秋浦雁初来
菅	菅茆作屋细家居 菅茅丰草皆沾润 菅茅披猖黄竹拜 菅席多年败见经 菅麻谁解沤东池 菅茆尚向烧边翠 菅席耒阳牛炙死 菅蒯谁从便可憎 菅君本不假凡胎
菁	菁山挽我作睽违 菁根杞苗皆臣仆 菁江步口日欲没 菁江十里路逶迟 菁山先生真崛奇 菁英届候别陶甄 菁茅山底梅花村 菁菁葑菲公犹采 菁华落尽惟枯卉 菁名诸葛待霜腴
菊	菊花香里开新酿 菊花须插满头归 菊花时节酒樽空 菊靥开残秋少味 菊水清於天水净 菊回霜晕浅仍深 菊残犹有傲霜枝 菊釂萸残玉未颓 菊花人貌自年年
菱	菱角尖尖尖似锥 菱花低照拂眉梢 菱花羞照啼妆面 菱花照面须频记 菱叶萦波荷飐风 菱花荇蔓随双桨 菱唱遥闻烟外声 菱花十里棹歌声 菱藕花开来路香 菱角鸡头积渐多
菉	菉葱顶上拆黄封
萝	萝壁猿啼翠几重 萝月四窗云万壑 萝薜常时共往还 萝月三更照半醒 萝衣袅袅带凉风 萝蔔头禅聒噪人 萝卜从来出镇州 萝冥冥兮霰纷纷
萌	萌蘖欣欣竞向荣 萌芽不待杨柳动 萌新敝旧实相欺 萌芽培养自熙丰 萌心甘泽云从地 萌生鄙吝劳清删 萌芽始见长蒿莱 萌一欺心理便亏
萍	萍川西注洞庭波 萍梗天涯幸有依 萍末相遭乃尔奇 萍末风轻入夜凉 萍蓬踪迹几时休 萍梗还来酹晚鸦 萍港不知人事改 萍末秋生风渐紧 萍飘梗泛前人语 萍叶开心碎骨施
菩	菩萨神仙不降生 菩萨端严身相好 菩萨行持终不惮 菩提叶老还书蠹 菩萨区区於进修 菩提坊里病维摩 菩萨如来是阿谁 菩提达磨为初祖 菩提无树镜非台 菩提般若六波罗
萋	萋萋芳草傍池塘 萋萋芳草忆王孙 萋萋总是无情物 萋萋尽处遥山小 萋萋芳草迷南浦 萋萋欲遍池塘草 萋萋芳草迷千里 萋萋芳草愁千里
萁	萁然豆煮虫泣锅
萨	萨埵装严已现成 萨埵投崖饲虎求 萨埵捧香生信心 萨达麻绳难辨的
菽	菽水山中仗谁设 菽粟才供且自强 菽水慈亲曲尽欢 菽水当年尚可欢 菽水虽贫归去好 菽水欣欣每尽欢 菽麦俄经一夜霜 菽粟瓶罂贮满家 菽水年来属未涯 菽水可欢须且住
菘	菘芥煮羹甘胜蜜 菘拟泷碑表亲墓 菘白僵成蒋白笋 菘膰何但退三舍 菘美在上根不食 菘心青嫩芥苔肥 菘窠其白柰花窠 菘羔楮鸡浪得名 菘葵经火未出土 菘韭成畦带雪忪
菼	菼屋高吟兴浩然
萚	萚[1]兮萚兮
萎	萎蕤翠帐缀香囊 萎花时堕佛天风 萎花风扫雨新奇 萎荑殒英春不主
萧	萧萧微雨闻孤馆 萧萧晚雨脱梧楸 萧瑟三垂冈下路 萧条。牵情系恨 萧萧风竹千蛟舞 萧萧细雨入黄昏 萧萧风叶乱黄芦 萧萧还是秋容暮 萧萧暮雨子规啼 萧萧乱叶报新秋
萤	萤在荒芜月在天 萤光得意穿帘隙 萤绕井阑帘入燕 萤光照水星星度 萤火生烟草化灰 萤飞木落何淅沥 萤飞月里无光色 萤穿湿竹流星暗 萤火乱飞秋已近 萤虫七夕吞明月
营	营幕傍临月窟寒 营巢倦鹊固难成 营伴将军即大粗 营壘家家说望夫 营营何太路岐忙 营州少年厌原野 营利明明市井人 营巢燕子逞翱翔 营道数峰新石友 营巢燕燕几时休
萦	萦弦急调切流征 萦曲屿兮绕西山 萦断千丝为谁恨 萦辔西南使邛僰 萦窗素月垂文练 萦风酒旆挂朱阁 萦回水抱中和气 萦水缭云闻妙唱 萦水歌声欺白雪 萦沙惹草细于毛
菸	菸日蔫云乍暑天
萸	萸房觅得惜其陈 萸粉菊英浮碗醑 萸杯引满宴公堂 萸少一枝心自觉 萸实菊花良不恶 萸房菊蕊定相怜 萸觞新唱缕金衣 萸津菊润斋醅熟 萸后菊前霜错落 萸坪竹馆辛夷坞
著	著鞭且展英雄志 著麦苗风柳映堤 著意调停云露酿 著意寻春懒便回 著意登楼瞻玉兔 著处繁花务是日 著人情思几多般 著书何似观心贤 著酒行行满袂风 著意寻春苦未迟
菑	菑川故旧识平津 菑川父老送平津 菑停滞穗壤馀蔬 菑田弗下寸根株 菑畲之业平心地 菑川元自属公孙 菑川起奉太常策
菴	菴树逼春花自吐 菴成可以资静观
菭	菭蘠三度楚江秋
菤	菤葹摘心心不尽
萓	萓荚花含月皎皎 萓草石榴剌人眼
葆	葆汝心光淳闷在 葆锄今亦粗成趣 葆光殿阁对青山 葆真行到烛初上 葆塞纷称毳幕多 葆籙宫前万国人 葆真宫是何年有 葆发临风半白时 葆练龙虎希长生 葆发伤秋岸幅巾
蒇	蒇事明禋协肃雍 蒇事此时争试目
葱	葱蒨玲珑方寸许 葱岭那边无处寻 葱葱鼠耳翠成双 葱葱佳气拂云袍 葱葱郁郁瑞光浮 葱葱郁郁腾光铓 葱葱佳气霭侯门 葱河五月天雨霜 葱指试拈琼管怯 葱茏花透纤纤月
蒂	蒂疑红蜡缀初乾 蒂占琼瓣轻如蝶 蒂怀寓眼勤呵咄 蒂含新蕊似蜂房 蒂团红蜡巧能装 蒂固根深会益芳
董	董生端合是前身 董卓犹知用荀爽 董龙何足方鸡狗 董贤三公谁复惜 董生明经守正直 董龙更是何鸡狗 董逃董逃董卓逃 董逃不获池鱼殃 董逃董逃人莫喜 董奉栽成李子丹
萼	萼绿仙人带暗香 萼君西母宴瑶台 萼绿华家萼绿春 萼绿华歌清韵袅 萼萼曾承雨露恩 萼绿华来谁得见 萼绿华轻罗袜小 萼绿华来无定所 萼绿仙姝庆诞辰
葫	葫芦携却数游巡 葫芦上面生芝草 葫芦井畔伤心语 葫芦棚上种冬瓜 葫芦却缠葫芦倒 葫芦提酒乐平生 葫牙酒尽兴未尽 葫芦一个隐山川 葫芦拄杖为行李 葫芦提一向装呆
蒋	蒋出摇动大江清 蒋岳春云武帝祠 蒋山寺里看花开 蒋校作「墨色」 蒋芽初白喜尝新 蒋侯庙下月下迟 蒋陵故是簪花路 蒋生三径枉相过 蒋山南望近西坊 蒋陵西井风烟惨
葵	葵扇桃笙度日居 葵榴花发已云夏 葵花向日枝枝似 葵扇栎笙手自携 葵榴初艳芰荷香 葵藿一心期捧日 葵箑桃笙自不禁 葵轩老子今何在 葵藿吾今遯益肥 葵华无眼随日转
蒌	蒌蒿数筯玉簪横 蒌蒿荻笋急须拈 蒌蒿芽甜蔊头辣 蒌蒿短短荻芽肥 蒌蒿如箸玉簪横 蒌蒿登盘朝饭美 蒌蒿如柱不成簪 蒌蒿蒙茸芦笋短 蒌蒿芽长芦笋大
葩	葩白中黄饶蕴藉 葩叶尖萌碧逾尺 葩敷溪女鬓唇斜 葩蘤人间一洗空
葡	葡萄未涨巴江迟 葡萄百丈蔓初萦 葡萄酒酿色如丹 葡萄架下小渔船 葡萄馆里花正开 葡萄美酒夜光杯 葡萄马乳归银瓮 葡萄宫锦醉缠头 葡萄长带一边垂
葺	葺得湖边屋数椽 葺茝纫兰得自娱 葺祠为庙饰栋梁 葺坡种菊当餱粮 葺得南园过一春 葺茅编苇结行窝 葺圃疏畦日荷锄 葺芷一笑为飞白 葺成世界三千景
蒐	蒐田只作具文看 蒐苗狝狩凛弗违 蒐今摭古以自课 蒐兵四解降王缚 蒐幽抉怪探玄微 蒐于岐阳骋雄俊
葳	葳蕤朱凤欲如何 葳蕤丹蕊璎珞细 葳蕤半露芙蓉色 葳蕤紫蕊吐幽芳 葳蕤桑梓翦为荒 葳蕤绣帐垂兰堂 葳蕤大纛映彤牙 葳蕤锁罢柝声传 葳蕤草木时为瑞
萱	萱草喜除烦恼障 萱草石榴情更多 萱草初长花未开 萱草堂前锦棣花 萱堂日日春生貌 萱草忘忧日日长 萱草石榴相续开 萱草偷来柄更长 萱草成窠杏子青
葬	葬地不封秋树死 葬防不背先师训 葬时定觅要离坟 葬客应倾数郡车 葬枯横野荷深恩 葬於江鱼之腹中 葬之酒乡泣醨糟 葬向青山为底物 葬子无期负一丘 葬近要离非素意
萬	萬家羅綺競喧闐 萬代興亡真返復
蒉	蒉桴土鼓乐平平 蒉桴土鼓圣人和 蒉桴土鼓诚为乐 蒉桴轻笑鼓雷阍 蒉桴土鼓为声始 蒉之职也在刀匕 蒉桴土鼓有遗韵 蒉桴土鼓乐尧年
葅	葅寒石芥愁辛鼻
蒍	蒍艾猎来民见德
萯	萯阳弋猎侵多稼
蓱	蓱号莫败西成好 蓱齑傍枕析朝酲 蓱号暍死龙甲焮
萷	萷櫹椮之可哀兮
葨	葨功渐毕身无事
蓓	蓓蕾凌寒瘦不禁 蓓蕾抽开素练囊 蓓蕾黄花当径开 蓓蕾梢头茁小红 蓓蕾粘枝密作团 蓓蕾枝头怯苦寒 蓓蕾枝梢血点乾 蓓蕾枝头茁小红 蓓蕾梢头破晚寒 蓓蕾扶篱菊未黄
蔀	蔀室悠悠昏复朝 蔀家丰屋永新县 蔀屋迎春似有媒 蔀屋有梦定山林
蒿	蒿间潜彀卢矢直 蒿目焦心愧若何 蒿目蓬心两何济 蒿莱讵报生成德 蒿莱丹碧果何心 蒿汤备礼不知愧 蒿街伫见悬酋豪 蒿目民艰竟若何 蒿莱织妾晨炊黍 蒿华都为一小堆
蒺	蒺蔾苗尽初蕃息 蒺藜沙上花开早 蒺藜已枯天马归 蒺藜沙草不知春 蒺藜满道风扬尘 蒺藜沙晚草迷川 蒺蔾园里养蜂窠 蒺藜沙上野花开 蒺藜园里放毫光 蒺藜不是眼中花
蓟	蓟门何处尽尧封 蓟北湘南俱在眼 蓟门东直下金台 蓟门落日松亭樽 蓟北湘南俱入眼 蓟庭萧瑟故人稀 蓟门冷落人行稀 蓟北鸿来路几千 蓟北黄云满眼愁 蓟门迢递三千里
蒹	蒹葭汀浦晚萧萧 蒹葭淅沥含秋雾 蒹葭露白莲塘浅 蒹葭风外烟笼柳 蒹葭鹭起波摇笠 蒹葭影里和烟卧 蒹葭月冷时闻雁 蒹葭霜冷雁初飞 蒹葭杨柳似汀洲 蒹葭烟尽岛如蓝
蒯	蒯缑弹铗老犹穷 蒯缑弹铗不堪听 蒯通狂说不足撼 蒯彻亦生天地裹 蒯彻徉狂栾布少 蒯缑忽堕空山梦 蒯索寒芦更与编 蒯缑弹铗咏新诗 蒯缑玉具皆外物 蒯彻安知背面哉
蓝	蓝霞辽海沉过雁 蓝桥动是经年别 蓝田日暖玉生烟 蓝桥休被琼浆弄 蓝桥是个神仙宅 蓝桥仙路不崎岖 蓝桥何处觅云英 蓝田生暖玉连环 蓝水远从千涧落 蓝桥谩促霜砧捣
蓠	蓠芷辛夷兰杜若 蓠蕙椒兰纷江渚
蓦	蓦地风波平地起 蓦劄相逢玉乳峰 蓦直也应真不惜 蓦然收袖倚栏干 蓦然旧事心上来 蓦有个汉出来道 蓦地花神通一路 蓦口一桡亲子父 蓦回头宫阙峥嵘 蓦地雨来荷叶闹
蓬	蓬莱仙子今宵降 蓬窗老抱横行路 蓬莱宫阙对南山 蓬山此去无多路 蓬壶殿里笙歌作 蓬莱顶上驾头还 蓬山佳致足君家 蓬壶岁月闲中积 蓬莱宫中日月长 蓬＊甘酸半染红
蒲	蒲萄雨足初全紫 蒲团禅板坐相当 蒲鞋价贱陈尊宿 蒲团放稳长连床 蒲津主帅能戢兵 蒲萄架上春藤秀 蒲萄力软被愁侵 蒲团坐倚无他事 蒲萄锦覆桐孙古 蒲团夜坐披圆觉
蓉	蓉旌羽节降白日 蓉花帘幕半浮烟 蓉菊满园皆可羡 蓉城诸葛何绵绵 蓉裳蕙带芰荷衫 蓉旂翠节下威蕤
蓐	蓐收行秋回斗杓 蓐收何在涉层空 蓐食需明出远村 蓐食趁程中夜起 蓐收功成将整驾 蓐食还须戒徒御 蓐收传令待残更 蓐食趋程烹虎肉 蓐食出门天欲曙 蓐收晃荡风前仗
蒻	蒻篷旧屋雨声乾 蒻缸渍畔糁盐醯 蒻笠端能直几钱
蓍	蓍草占来命尚邅 蓍草惟堪养寿龟 蓍草占来命已通 蓍草晨占大易爻 蓍久不神何用卜 蓍草只知浮世呈 蓍草裁知西伯墓 蓍囊药芨每随身 蓍台静研《易》
蒜	蒜山瓜步江南北 蒜山幸有闲田地 蒜山渡口挽归艎 蒜山晴日照扬州 蒜头椒目禀生微 蒜山东路春风绿 蒜山东渡得林丘 蒜山晴雪照扬州 蒜溪一脉涓涓水 蒜山小隐虽为客
蓑	蓑衣时振玉花空 蓑衣竹笠是生缘 蓑笠每因山雨戴 蓑笠今成泽畔翁 蓑衣篛笠卖黄金 蓑衣毳衲诚吾党 蓑翁老熟惯风波 蓑衣碎叶重重补 蓑笠不堪牛背湿 蓑衣不把金章换
蓊	蓊郁成阴云气簇 蓊有正背多般蕊 蓊若青云乍吐山 蓊郁新栽四五行 蓊勃时时云气生 蓊葱各欲出风雷 蓊翁作此岂无意 蓊勃天芬透绮疏 蓊郁山巅古寺藏
蓄	蓄节正直已不拔 蓄积期会谁当先 蓄恨绮罗犹眷眷 蓄兵万指红满仓 蓄香便未甘后尘 蓄时燕子几人家 蓄租分散身为羞 蓄意新词轻缓唱 蓄积那堪五经笋
蓣	蓣芋姜蘘绿满畦
蒸	蒸饼犹能十字裂 蒸败蠹侵谁与防 蒸霞沸浪煎鱼龟 蒸香压酒芙蓉顶 蒸藜炊黍饷东菑 蒸霞灿锦望中迷 蒸茗气从茅舍出 蒸麋烧鹿荐杯行 蒸沙烁石然虏云 蒸之馥之香胜梅
蓮	蓮花正在山頭发 蓮華峰在諸峰上
蒨	蒨裙青袂几扁舟 蒨旆出过应曜墓 蒨裙儿女隔笆篱 蒨丝沉水如云影 蒨金小袖花下行 蒨绶有香笼驿马 蒨罗绉薄剪薰风 蒨衣菱女画桡轻 蒨裙窥爱疏篱晚 蒨蒨红裙好女儿
蓆	蓆门元不困陈平
蒓	蒓菜鲈鱼好时节
蒭	蒭荛十轴僮三尺
蒪	蒪丝老尽归不得 蒪鲈荐俎朝丰馔 蒪丝箭茁垂垂老
蒔	蒔菘栽韭树桑麻
蓪	蓪草花簪茜草裙 蓪草头花椰叶裙
蔼	蔼蔼停云八表昏 蔼蔼绮庭嫔从列 蔼蔼停云酒一卮 蔼蔼京城在九天 蔼蔼园陵指点中 蔼蔼疏烟迷远树 蔼然林下昔贤风 蔼余馥残膏谁嗅 蔼然清绝更无过 蔼蔼东风符帝力
蔽	蔽芾[2]甘棠 蔽能者诛荐受禨 蔽晦君之聪明兮 蔽月遮星作万端 蔽江载石巧玲珑 蔽日乌云拨不开 蔽亏玉仗宫花密 蔽空雨点弩发机 蔽江行见下楼船
蔡	蔡家新妇莫嫌少 蔡庄犹恨欠题诗 蔡女菱歌移锦缆 蔡琰薄命没胡虏 蔡琰没去造胡笳 蔡琰归梳两鬓丝 蔡中郎幼妇碑阴 蔡女昔造胡笳声 蔡州城里谁坚壁 蔡侯静者意有余
蔟	蔟蔟金英洗露华 蔟蔟新英摘露光 蔟蔟排弦声流美
蔺	蔺卿全璧我蹉跎 蔺卿反仅能全璧 蔺相如璧偶然全
蔑	蔑君臣而自恣兮 蔑有骄奢贻后悔 蔑视韩韦复何者 蔑尔时俗论爱憎
蔫	蔫红销骨乍攒堆 蔫香冶态犹无穷 蔫红殷桃吾不较 蔫红半落平池晚 蔫香无语堕空杯 蔫红半落生香在 蔫黄犹是旧时叶
蔷	蔷薇花落秋风起 蔷薇花谢绿窗前 蔷薇柔水麝分脐 蔷薇粉褪海棠蔫 蔷薇水蘸檀心紫 蔷薇水润衙香腻 蔷薇露染玉肌肤 蔷薇水浸淡鹅黄 蔷薇洞口三生路 蔷薇空自效颦忙
蔌	蔌蔌奇声渡野塘 蔌蔌飞花落小池 蔌蔌灯花破碎红 蔌蔌杨花堕酒杯 蔌蔌因风抟复散 蔌蔌通宵茅屋冷 蔌蔌新篁解箨声 蔌蔌落花风自扫 蔌蔌俄惊万片红 蔌蔌冬青几树花
箫	箫鼓喧天浪拍空 箫鼓声声且莫催 箫笳仪卫辞宫阙 箫鼓追随春社近 箫笳凄咽离天阙 箫韶九变皇灵格 箫鼓哀吟乐楚臣 箫鼓哀吟感鬼神 箫韵九奏凤来翔 箫吹弄玉登楼月
蔗	蔗浆归厨金碗冻 蔗浆酪粉金盘冷 蔗浆金碗冰盘冻 蔗浆无柰楚魂迷 蔗浆不用传金碗 蔗境馀佳渴肺知 蔗浆满贮金瓯冷 蔗林遮眼青到市 蔗乡翻苦要谁知 蔗境渐佳惟习静
蓴	蓴丝作羹饭雕胡 蓴羹下豉知难敌 蓴羹菰饭香满船 蓴菜鮆鱼初满市 蓴菜丝长入市新 蓴鲈犹喜老还乡 蓴菜煮羹吴旧俗 蓴丝色紫菰首白 蓴丝菰首亦加餐 蓴羹似酪不论钱
蔥	蔥岭自横秦塞上
蕙	蕙炷犹熏百和秾 蕙兰虽许相依日 蕙性柔情忒可怜 蕙兰相随喧妓女 蕙炷香销烛影残 蕙死兰枯篱菊槁 蕙帐香消形色静 蕙心兰态见柔情 蕙风飘荡散轻烟 蕙楼多少铅华在
蕺	蕺山云外看黄花 蕺山草树见挥毫 蕺山直上最高峰 蕺山老姥羞翰墨
蕨	蕨脑才抽稚子拳 蕨芽初长小儿拳 蕨长如树蚓如蛇 蕨菜何为入市稀 蕨熟人烟桦角村 蕨手犹拳已箸长 蕨萁可舂难入手 蕨拳欲动茗抽芽 蕨薇虽老芋栗甜 蕨芽已作小儿拳
蕲	蕲水织簟黄金纹 蕲竹水翻台榭湿 蕲州刺史张公子 蕲州簟展双纹浪 蕲人应识紫微郎 蕲水苍生莫相羡 蕲春笛簟怨秋凉 蕲州笛竹天下知 蕲王战舰已无踪 蕲人应识紫薇郎
蕤	蕤宾掩抑娇多怨 蕤破极冬悬蜡蒂 蕤宾律应又将中 蕤宾纪月蓂初开 蕤宾主其仲夏兮 蕤宾布序逢良月
蕊	蕊球仙子醉红潮 蕊嫩花房无限好 蕊寒香冷蝶难来 蕊黄无限当山额 蕊宫仙曲送流霞 蕊珠宫女弄幽妍 蕊珠宫里旧承恩 蕊珠仙子下瑶池 蕊珠宫里三千女
蔬	蔬畦麦陇带平田 蔬餐且可遣朝晡 蔬饭茶花照胆寒 蔬青饭软枝梧老 蔬食何施祝鲠人 蔬盘旋采溪毛滑 蔬食一箪宜面槁 蔬笋能空粉黛群 蔬肠不柰村酤涩 蔬食寒寝度年年
蕣	蕣华暮落松凌雪 蕣华零落瘴江风 蕣彩朝朝艳醉眸
蕴	蕴玉含晖一水间 蕴空谁见法中王 蕴藉斯人合台阁 蕴积渊源百未伸 蕴环露秀周峰峦 蕴隆日日等西风 蕴藻竞严朝斗意 蕴蓄玉金贲山毛 蕴怀耿耿谁与言 蕴灵产此万珍木
蕞	蕞尔海隅民力困 蕞尔鳏鲕徒唯唯 蕞尔卷石谁为容 蕞陋徒烦妙笔传 蕞尔日本亦出定 蕞尔南州成底事 蕞然土木何足数 蕞尔之身函天地
薜	薜荔为裳带女萝 薜荔柏佤兮蕙绸 薜萝新雨曙烟腥 薜荔风号义士魂 薜荔累垂缴古松 薜衣耕凿帝尧人 薜荔帷兮药作房 薜萝山帔偏能湄 薜荔引蔓龙鳞苍
薋	薋菉葹满高下田 薋菉葹以盈室兮
薨	薨薨飞蠓哦空檐
蕾	蕾红包裹春犹密
薯	薯蓣傍篱寒引蔓 薯蓣堪羹杞可齑
薮	薮丘水竹挥毫助 薮泽遂包勍与鳄
薙	薙草披沙石窦开 薙茅诛棘旋开田 薙草新居对渺瀰 薙草烦君开蒋径 薙草养兰修故事 薙鸸添室翠分巢
薇	薇柳诸关成底事 薇香清净杂纤云 薇药无情自紫红 薇蕨既老而苦涩 薇心玉露练香泥 薇帐逗烟生绿尘 薇阁藤厅淡淡红 薇水流香仙子家 薇蕨纵多师莫踏
薤	薤露歌词非白雪 薤歌我叹露华晞 薤叶照人呈夏簟 薤送哀声事已空 薤歌不尽云亡恨 薤露有歌凄晓月 薤歌寥落柳车边 薤歌声咽些声长 薤水吾无可语公 薤叶簟凉一就枕
薪	薪从霜后拾枯枝 薪水供厨只自劳 薪刍万计随流下 薪不属兮卫人罪 薪翁笱妇利其小 薪水今悲系病怀 薪米临时取道傍 薪殚粲尽复空樽 薪火何能救一杯 薪樗塞破野人居
薛	薛王出降民不降 薛王沉醉寿王醒 薛老之言贵尚通 薛氏乐童年十二 薛罗门巷足烟霞 薛稷鹤夸警露姿 薛鸭袁羊饤珍食 薛涛侧理摊满案 薛涛笺上楚妃吟 薛颠谓予可英杰
薏	薏苡丛深稗穗抽 薏苡非珠偶似珠 薏苡犹能困伏波 薏苡明珠一例无 薏苡应为史笔知 薏苡谗忧马伏波 薏苡将军足断魂 薏苡石边收钓笠 薏苡犹疑马伏波 薏苡囊疑马伏波
薑	薑苗为屦著难穿
薈	薈蔚杂树昏朣胧
薦	薦苇丛边雪未销 薦芽穿膝笑无能 薦花深处最怡情 薦贤表想殷勤发 薦玉燔柴极至诚
薠	薠蘅槁而节离兮
薧	薧鱼升豆汉祠丰
薝	薝葡林中无别香 薝卜林中飞玉出 薝卜忘忧亦已开 薝卜名花飘不断 薝卜酴醿虽惯见 薝卜无香散六花 薝卜香熏水精记 薝卜三千灌顶香 薝卜林中黄土堆 薝卜枝枯醴泉竭
藂	藂林千古笑嘻嘻 藂植森荣还蓊蔚
藁	藁砧宁用专城居 藁草乃致传无穷 藁殡萧萧泣行路 藁街长是最高楼 藁砧依旧在层楼 藁碪无赖鬻蛾眉 藁砧一别若箭弦 藁砧走藏姑诮骂 藁砧不答高掩鼻 藁街未见枭狼羊
藐	藐姑之仙下缥缈 藐如无闻亦异已 藐视声利如尘泥 藐姑射之绰约兮 藐矣诸孙愧前躅 藐予小子衰残迫 藐藐大钧那可问 藐姑射姿无粉脂 藐藐何自听谆谆 藐视四海岂无人
藓	藓花绕背字痕青 藓色犹存百年干 藓护苔封白玉柯 藓痕残绿一重重 藓佩翠帷香火寒 藓崖直上飞双屐 藓井筠笼浸苍玉 藓磴高攀不计层
薰	薰天意气连宫掖 薰风披拂水文章 薰风高阁水晶寒 薰风暖润物华鲜 薰风破闷晚凉时 薰炉烘暖鹧鸪斑 薰风摇动一天青 薰余乍厌锦衾温 薰莸难昧双垂爪 薰风时送芰荷香
薶	薶骨九原应已朽 薶文瘗笔同高风
薲	薲花风急棹舟过
藩	藩星仍映使星明 藩朝宣力由忠荩 藩府十年为律业 藩臣皆竞师兵略 藩篱如此亦区区 藩溷曾劳笔砚随 藩篱决破定无他 藩篱小鸟何甚微 藩宣上国古贤侯 藩篱处处蔓牵牛
藜	藜羹脱粟非公狂 藜羹麦饭冷不尝 藜杖看陪太乙皇 藜羹一饱能世守 藜藿满庭尘闇佛 藜羹饭糗勿豫谋 藜床香篆横轻雾 藜照何须烦太一 藜羹被褐环堵中 藜藿盘中生精神
藕	藕花万顷开浮蕊 藕花风细鲤鱼肥 藕花菱角满池塘 藕花未放青蒲短 藕叶风吹叔宝池 藕丝衫剪轻红窄 藕花恰莫碍行舟 藕丝衫袖郁金香 藕丝衫翦猩红窄
藤	藤枯树倒笑呵呵 藤冠草屦病支离 藤枯树倒问沩山 藤萝欲上更搘筇 藤杖枝头芦酒滴 藤阴满地走龙蛇 藤床巧织波文小 藤床纸帐朝眠起 藤萝相接次连溪
藞	藞藞苴苴没羞耻 藞苴余春还子细
藙	藙牲孰与奉慈颜
